time(s),cellId,rnti,lcid,packetSize,delay(s)
1.02153,8,4,3,6939,0.00252857
1.0216,6,4,3,23949,0.0026
1.02167,2,3,3,15967,0.00267142
1.02167,8,3,3,15967,0.00267142
1.02174,4,2,3,22561,0.00274285
1.02174,6,3,3,1097,0.00274285
1.02181,2,2,3,15967,0.00281428
1.02181,8,2,3,15967,0.00281428
1.02189,6,2,3,9544,0.00288571
1.02196,2,1,3,15967,0.00295714
1.02196,8,1,3,15967,0.00295714
1.02203,4,1,3,15618,0.00302856
1.02203,6,1,3,7807,0.00302856
1.02224,8,7,3,1733,0.00224286
1.02231,8,6,3,7982,0.00231428
1.02239,2,5,3,23949,0.00238571
1.02239,6,5,3,14317,0.00238571
1.02246,4,3,3,31934,0.00245714
1.02246,8,5,3,6939,0.00245714
1.0226,2,4,3,19524,0.0026
1.0226,6,4,3,23949,0.0026
1.0226,8,4,3,6939,0.0026
1.02274,4,2,3,22561,0.00274285
1.02274,2,3,3,15967,0.00274285
1.02274,6,3,3,1097,0.00274285
1.02274,8,3,3,15967,0.00274285
1.02289,2,2,3,15967,0.00288571
1.02289,6,2,3,9544,0.00288571
1.02289,8,2,3,15967,0.00288571
1.02303,4,1,3,15618,0.00302856
1.02303,2,1,3,15967,0.00302856
1.02303,6,1,3,7807,0.00302856
1.02303,8,1,3,15967,0.00302856
1.02324,8,7,3,2139,0.00224286
1.02331,8,6,3,7982,0.00231428
1.02339,2,5,3,23949,0.00238571
1.02339,4,3,3,23949,0.00238571
1.02339,6,5,3,14317,0.00238571
1.02353,6,4,3,15967,0.00252857
1.0236,2,4,3,19524,0.0026
1.02367,6,3,3,1097,0.00267142
1.02374,2,3,3,15967,0.00274285
1.02374,8,3,3,15967,0.00274285
1.02381,6,2,3,9544,0.00281428
1.02389,2,2,3,15967,0.00288571
1.02389,8,2,3,15967,0.00288571
1.02396,4,1,3,15618,0.00295714
1.02396,6,1,3,7807,0.00295714
1.02403,2,1,3,15967,0.00302856
1.02403,8,1,3,15967,0.00302856
1.02424,8,7,3,1733,0.00224286
1.02431,8,6,3,7982,0.00231428
1.02439,6,5,3,14317,0.00238571
1.02446,4,3,3,31934,0.00245714
1.02446,8,5,3,6939,0.00245714
1.0246,6,4,3,23949,0.0026
1.0246,8,4,3,6939,0.0026
1.02474,4,2,3,22561,0.00274285
1.02474,6,3,3,1097,0.00274285
1.02474,8,3,3,15967,0.00274285
1.02489,6,2,3,9544,0.00288571
1.02489,8,2,3,15967,0.00288571
1.02503,2,4,3,22128,0.00802856
1.02503,4,1,3,15618,0.00302856
1.02503,6,1,3,7807,0.00302856
1.02503,8,1,3,15967,0.00302856
1.02524,8,7,3,2139,0.00224286
1.02531,8,6,3,7982,0.00231428
1.02539,2,5,3,23949,0.00238571
1.02539,6,5,3,14317,0.00238571
1.02546,4,3,3,31934,0.00245714
1.02546,8,5,3,6939,0.00245714
1.0256,2,4,3,19524,0.0026
1.0256,6,4,3,23949,0.0026
1.0256,8,4,3,6939,0.0026
1.02574,4,2,3,22561,0.00274285
1.02574,2,3,3,15967,0.00274285
1.02574,6,3,3,1097,0.00274285
1.02574,8,3,3,15967,0.00274285
1.02589,2,2,3,15967,0.00288571
1.02589,6,2,3,9544,0.00288571
1.02589,8,2,3,15967,0.00288571
1.02603,4,1,3,15618,0.00302856
1.02603,2,1,3,15967,0.00302856
1.02603,6,1,3,7807,0.00302856
1.02603,8,1,3,15967,0.00302856
1.02639,2,5,3,23949,0.00238571
1.02639,6,5,3,14317,0.00238571
1.02646,4,3,3,31934,0.00245714
1.0266,2,4,3,19524,0.0026
1.0266,6,4,3,23949,0.0026
1.02674,4,2,3,22561,0.00274285
1.02674,2,3,3,15967,0.00274285
1.02674,6,3,3,1097,0.00274285
1.02689,2,2,3,15967,0.00288571
1.02689,6,2,3,9544,0.00288571
1.02703,8,5,3,3469,0.00802856
1.02703,4,1,3,15618,0.00302856
1.02703,2,1,3,15967,0.00302856
1.02703,6,1,3,7807,0.00302856
1.02724,8,7,3,2139,0.00224286
1.02731,8,6,3,7982,0.00231428
1.02739,2,5,3,23949,0.00238571
1.02739,6,5,3,14317,0.00238571
1.02746,4,3,3,31934,0.00245714
1.02746,8,5,3,5551,0.00245714
1.0276,2,4,3,19524,0.0026
1.0276,6,4,3,23949,0.0026
1.0276,8,4,3,6939,0.0026
1.02774,2,3,3,15967,0.00274285
1.02774,8,3,3,15967,0.00274285
1.02789,2,2,3,15967,0.00288571
1.02789,6,2,3,9544,0.00288571
1.02789,8,2,3,15967,0.00288571
1.02803,4,1,3,15618,0.00302856
1.02803,2,1,3,15967,0.00302856
1.02803,8,1,3,15967,0.00302856
1.02839,2,5,3,23949,0.00238571
1.0286,2,4,3,19524,0.0026
1.0286,6,4,3,23949,0.0026
1.02874,2,3,3,15967,0.00274285
1.02874,6,3,3,1097,0.00274285
1.02889,2,2,3,15967,0.00288571
1.02889,6,2,3,9544,0.00288571
1.02903,4,2,3,22561,0.00802856
1.02903,8,5,3,6939,0.00802856
1.02903,8,4,3,6939,0.00802856
1.02903,2,1,3,15967,0.00302856
1.02903,6,1,3,7807,0.00302856
1.02924,8,7,3,1733,0.00224286
1.02931,8,6,3,7982,0.00231428
1.02939,2,5,3,23949,0.00238571
1.02939,6,5,3,14317,0.00238571
1.02946,4,3,3,31934,0.00245714
1.02946,8,5,3,5551,0.00245714
1.0296,6,4,3,23949,0.0026
1.0296,8,4,3,5551,0.0026
1.02974,4,2,3,19091,0.00274285
1.02974,2,3,3,15967,0.00274285
1.02974,6,3,3,1097,0.00274285
