Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.01629,DL,101,6,0,1,3,5,0,5,5,693,0,1,0,16.8569,0,0
1.01636,DL,101,6,0,1,4,3,0,3,3,926,0,1,0,42.4947,0,0
1.01636,DL,101,6,0,3,2,7,0,5,5,461,0,1,0,10.0802,0,0
1.0165,DL,101,6,0,4,3,1,0,4,4,693,0,1,0,21.4682,0,0
1.0165,DL,101,6,0,4,3,5,0,4,4,693,0,1,0,73.1575,0,0
1.0165,DL,101,6,0,5,2,7,0,4,4,461,0,1,0,11.1544,0,0
1.01664,DL,101,6,0,5,4,3,0,2,2,926,0,1,0,18.9454,0,0
1.01664,DL,101,6,0,7,2,1,0,3,3,461,0,1,0,35.2514,0,0
1.01664,DL,101,6,0,7,2,5,0,3,3,461,0,1,0,0.356032,0,0
1.01664,DL,101,6,0,7,2,7,0,3,3,461,0,1,0,58.7755,0,0
1.01679,DL,101,6,0,9,2,1,0,2,2,461,0,1,0,44.4063,0,0
1.01679,DL,101,6,0,9,2,5,0,2,2,461,0,1,0,15.4872,0,0
1.01679,DL,101,6,0,9,2,7,0,2,2,461,0,1,0,67.6922,0,0
1.01693,DL,101,6,0,9,4,3,0,1,1,926,0,1,0,15.8379,0,0
1.01693,DL,101,6,0,11,2,1,0,1,1,461,0,1,0,31.2853,0,0
1.01693,DL,101,6,0,11,2,5,0,1,1,461,0,1,0,17.0356,0,0
1.01693,DL,101,6,0,11,2,7,0,1,1,461,0,1,0,56.4101,0,0
1.01714,DL,101,7,0,1,1,7,0,7,7,229,0,1,0,5.98238,0,0
1.01721,DL,101,7,0,2,1,7,0,6,6,229,0,1,0,71.7359,0,0
1.01729,DL,101,7,0,1,3,1,0,5,5,693,0,1,0,28.6652,0,0
1.01729,DL,101,7,0,1,3,5,0,5,5,693,0,1,0,16.8263,0,0
