time(s),cellId,rnti,lcid,packetSize
1.023,8,2,3,15967
1.023,8,1,3,15967
1.024,2,5,3,23949
1.024,2,4,3,19524
1.024,2,3,3,15967
1.024,2,2,3,15967
1.024,2,1,3,15967
1.024,4,3,3,31934
1.024,4,2,3,22561
1.024,4,1,3,15618
1.024,6,5,3,14317
1.024,6,4,3,23949
1.024,6,3,3,1097
1.024,6,2,3,9544
1.024,6,1,3,7807
1.025,2,5,3,23949
1.025,2,4,3,19524
1.025,2,3,3,15967
1.025,2,2,3,15967
1.025,2,1,3,15967
1.025,4,3,3,31934
1.025,4,2,3,26031
1.025,4,1,3,15618
1.025,6,5,3,14317
1.025,6,4,3,23949
1.025,6,3,3,1733
1.025,6,2,3,9544
1.025,6,1,3,15967
1.025,8,7,3,2139
1.025,8,6,3,7982
1.025,8,5,3,5551
1.025,8,4,3,6939
1.025,8,3,3,15967
1.025,8,2,3,15967
1.025,8,1,3,15967
1.026,2,5,3,23949
1.026,2,4,3,19524
1.026,2,3,3,15967
1.026,2,2,3,15967
1.026,2,1,3,15967
1.026,6,5,3,14317
1.026,6,4,3,23949
1.026,6,3,3,1097
1.026,6,2,3,9544
1.026,6,1,3,7807
1.027,2,5,3,23949
1.027,2,4,3,22128
1.027,2,3,3,15967
1.027,2,2,3,15967
1.027,2,1,3,15967
1.027,4,3,3,31934
1.027,4,2,3,19091
1.027,4,1,3,15618
1.027,6,5,3,14317
1.027,6,4,3,23949
1.027,6,3,3,1097
1.027,6,2,3,9544
1.027,6,1,3,14750
1.027,8,7,3,1733
1.027,8,6,3,7982
1.027,8,5,3,5551
1.027,8,4,3,5551
1.027,8,3,3,15967
1.027,8,2,3,15967
1.027,8,1,3,15967
1.028,2,5,3,23949
1.028,2,4,3,23949
1.028,2,3,3,15967
1.028,2,2,3,15967
1.028,2,1,3,15967
1.028,4,3,3,23949
1.028,4,2,3,26031
1.028,4,1,3,15618
1.028,6,5,3,19524
1.028,6,4,3,23949
1.028,6,3,3,1733
1.028,6,2,3,9544
1.028,6,1,3,7807
1.028,8,7,3,2775
1.028,8,6,3,7982
1.028,8,5,3,11280
1.028,8,4,3,7807
1.028,8,3,3,15967
1.028,8,2,3,15967
1.028,8,1,3,15967
1.029,2,5,3,23949
1.029,2,4,3,19524
1.029,2,3,3,15967
1.029,2,2,3,15967
1.029,2,1,3,15967
1.029,4,3,3,31934
1.029,4,2,3,22561
1.029,4,1,3,15618
1.029,6,5,3,14317
1.029,6,4,3,23949
1.029,6,3,3,1097
1.029,6,2,3,9544
1.029,6,1,3,7807
1.029,8,7,3,2139
1.029,8,6,3,7982
1.029,8,5,3,6939
1.029,8,4,3,6939
1.029,8,3,3,15967
1.029,8,2,3,15967
1.029,8,1,3,15967
1.03,2,5,3,23949
1.03,2,4,3,22128
1.03,2,3,3,15967
1.03,2,2,3,15967
1.03,2,1,3,15967
1.03,8,7,3,2139
1.03,8,6,3,7982
1.03,8,5,3,14750
1.03,8,4,3,6939
1.03,8,3,3,15967
1.03,8,2,3,15967
1.03,8,1,3,15967
1.031,2,5,3,23949
1.031,2,4,3,19524
1.031,2,3,3,15967
1.031,2,2,3,15967
1.031,2,1,3,15967
1.031,4,3,3,31934
1.031,4,2,3,22561
1.031,4,1,3,15618
1.031,8,7,3,1733
1.031,8,6,3,7982
1.031,8,5,3,6939
1.031,8,4,3,6939
1.031,8,3,3,15967
1.031,8,2,3,15967
1.031,8,1,3,15967
1.032,4,3,3,31934
1.032,4,2,3,26031
1.032,4,1,3,15618
1.032,8,7,3,1733
1.032,8,6,3,7982
1.032,8,5,3,11280
1.032,8,4,3,9544
1.032,8,3,3,15967
1.032,8,2,3,15967
1.032,8,1,3,15967
1.034,2,5,3,23949
1.034,2,4,3,22128
1.034,2,3,3,15967
1.034,2,2,3,15967
1.034,2,1,3,15967
1.034,4,3,3,31934
1.034,4,2,3,19091
1.034,4,1,3,15618
1.034,6,5,3,14317
1.034,6,4,3,23949
1.034,6,3,3,1733
1.034,6,2,3,9544
1.034,6,1,3,7807
1.035,4,3,3,31934
1.035,4,2,3,22561
1.035,4,1,3,15618
1.035,6,5,3,14317
1.035,6,4,3,23949
1.035,6,3,3,1097
1.035,6,2,3,9544
1.035,6,1,3,7807
1.036,2,5,3,22128
1.036,2,4,3,19524
1.036,2,3,3,15967
1.036,2,2,3,15967
1.036,2,1,3,15967
1.036,4,3,3,31934
1.036,4,2,3,22561
1.036,4,1,3,15618
1.036,6,5,3,14317
1.036,6,4,3,15967
1.036,6,3,3,458
1.036,6,2,3,9544
1.036,6,1,3,15967
1.037,2,5,3,23949
1.037,2,4,3,19524
1.037,2,3,3,15967
1.037,2,2,3,15967
1.037,2,1,3,15967
1.037,4,3,3,31934
1.037,4,2,3,22561
1.037,4,1,3,22561
