Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
0.730857,7,0,3,-138.014
0.737857,1,0,17,-129.505
0.739857,1,0,10,-130.938
0.740857,7,0,18,-103.556
0.741857,5,0,12,-127.668
0.745857,5,0,15,-132.41
0.750857,7,0,4,-100.567
0.754857,1,0,19,-119.095
0.756857,5,0,8,-144.32
0.759857,7,0,9,-136.309
0.772857,7,0,13,-107.628
0.773857,3,0,5,-105.763
0.773857,1,0,16,-127.54
0.781857,7,0,6,-131.33
0.781857,1,0,20,-127.035
0.783857,5,0,2,-95.7788
0.783857,3,0,11,-128.273
0.790857,3,0,7,-131.399
0.798857,5,0,1,-131.008
0.802857,7,0,14,-101.15
0.810857,7,0,3,-137.804
0.817857,1,0,17,-128.993
0.819857,1,0,10,-130.963
0.820857,7,0,18,-103.258
0.821857,5,0,12,-126.922
0.825857,5,0,15,-131.622
0.830857,7,0,4,-100.509
0.834857,1,0,19,-119.326
0.836857,5,0,8,-144.687
0.839857,7,0,9,-135.44
0.852857,7,0,13,-107.209
0.853857,3,0,5,-105.325
0.853857,1,0,16,-128.035
0.861857,7,0,6,-130.957
0.861857,1,0,20,-126.606
0.863857,5,0,2,-95.4215
0.863857,3,0,11,-128.425
0.870857,3,0,7,-131.488
0.878857,5,0,1,-131.012
0.882857,7,0,14,-101.345
0.890857,7,0,3,-138.041
0.897857,1,0,17,-128.643
0.899857,1,0,10,-130.679
0.900857,7,0,18,-103.098
0.901857,5,0,12,-127.858
0.905857,5,0,15,-131.935
0.910857,7,0,4,-100.196
0.914857,1,0,19,-118.479
0.916857,5,0,8,-144.956
0.919857,7,0,9,-135.212
0.932857,7,0,13,-107.254
0.933857,3,0,5,-105.477
0.933857,1,0,16,-127.782
0.941857,7,0,6,-131.614
0.941857,1,0,20,-126.834
0.943857,5,0,2,-94.8802
0.943857,3,0,11,-129.206
0.950857,3,0,7,-131.78
0.958857,5,0,1,-130.97
0.962857,7,0,14,-101.314
0.970857,7,0,3,-138.285
0.977857,1,0,17,-128.224
0.979857,1,0,10,-130.371
0.980857,7,0,18,-102.997
0.981857,5,0,12,-127.795
0.985857,5,0,15,-132.132
0.990857,7,0,4,-99.4526
0.994857,1,0,19,-118.55
0.996857,5,0,8,-145.097
0.999857,7,0,9,-134.947
1.01286,7,0,13,-107.19
1.01386,3,0,5,-105.125
1.01386,1,0,16,-128.714
1.01593,7,0,3,-138.207
1.01593,7,0,4,-99.6957
1.01593,5,0,1,-130.422
1.01593,1,0,10,-129.952
1.01593,3,0,5,-105.115
1.01593,7,0,6,-131.52
1.01593,5,0,2,-95.0746
1.01593,1,0,16,-128.774
1.01593,7,0,9,-134.718
1.01593,3,0,7,-131.556
1.01593,1,0,17,-128.478
1.01593,5,0,8,-144.92
1.01593,7,0,13,-107.225
1.01593,1,0,19,-118.744
1.01593,7,0,14,-102.194
1.01593,5,0,12,-127.181
1.01593,3,0,11,-129.628
1.01593,1,0,20,-125.876
1.01593,7,0,18,-103.179
1.01593,5,0,15,-131.768
1.01693,7,0,3,-138.211
1.01693,7,0,4,-99.631
1.01693,5,0,1,-130.369
1.01693,1,0,10,-129.898
1.01693,3,0,5,-105.101
1.01693,7,0,6,-131.544
1.01693,5,0,2,-95.0461
1.01693,1,0,16,-128.852
1.01693,7,0,9,-134.748
1.01693,3,0,7,-131.555
1.01693,1,0,17,-128.434
1.01693,5,0,8,-144.967
1.01693,7,0,13,-107.225
1.01693,1,0,19,-118.792
1.01693,7,0,14,-102.187
1.01693,5,0,12,-127.252
1.01693,3,0,11,-129.681
1.01693,1,0,20,-125.87
1.01693,7,0,18,-103.178
1.01693,5,0,15,-131.763
1.01793,7,0,3,-138.276
1.01793,7,0,4,-99.6528
1.01793,5,0,1,-130.399
1.01793,1,0,10,-129.869
1.01793,3,0,5,-105.106
1.01793,7,0,6,-131.598
1.01793,5,0,2,-95.023
1.01793,1,0,16,-128.885
1.01793,7,0,9,-134.74
1.01793,3,0,7,-131.525
1.01793,1,0,17,-128.446
1.01793,5,0,8,-145.005
1.01793,7,0,13,-107.285
1.01793,1,0,19,-118.893
1.01793,7,0,14,-102.216
1.01793,5,0,12,-127.417
1.01793,3,0,11,-129.625
1.01793,1,0,20,-125.934
1.01793,7,0,18,-103.272
1.01793,5,0,15,-131.67
1.01893,7,0,3,-138.223
1.01893,7,0,4,-99.672
1.01893,5,0,1,-130.414
1.01893,1,0,10,-129.866
1.01893,3,0,5,-105.106
1.01893,7,0,6,-131.678
1.01893,5,0,2,-95.0833
1.01893,1,0,16,-128.904
1.01893,7,0,9,-134.729
1.01893,3,0,7,-131.607
1.01893,1,0,17,-128.501
1.01893,5,0,8,-144.943
1.01893,7,0,13,-107.28
1.01893,1,0,19,-118.896
1.01893,7,0,14,-102.224
1.01893,5,0,12,-127.353
1.01893,3,0,11,-129.564
1.01893,1,0,20,-125.911
1.01893,7,0,18,-103.23
1.01893,5,0,15,-131.584
1.01993,7,0,3,-138.262
1.01993,7,0,4,-99.6972
1.01993,5,0,1,-130.371
1.01993,1,0,10,-129.816
1.01993,3,0,5,-105.088
1.01993,7,0,6,-131.698
1.01993,5,0,2,-95.0538
1.01993,1,0,16,-129.023
1.01993,7,0,9,-134.783
1.01993,3,0,7,-131.631
1.01993,1,0,17,-128.454
1.01993,5,0,8,-144.955
1.01993,7,0,13,-107.214
1.01993,1,0,19,-118.814
1.01993,7,0,14,-102.191
1.01993,5,0,12,-127.315
1.01993,3,0,11,-129.5
1.01993,1,0,20,-125.931
1.01993,7,0,18,-103.223
1.01993,5,0,15,-131.603
1.02093,7,0,3,-138.227
1.02093,7,0,4,-99.6984
1.02093,5,0,1,-130.331
1.02093,1,0,10,-129.779
1.02093,3,0,5,-104.985
1.02093,7,0,6,-131.734
1.02093,5,0,2,-95.0841
1.02093,1,0,16,-129.008
1.02093,7,0,9,-134.783
1.02093,3,0,7,-131.612
1.02093,1,0,17,-128.409
1.02093,5,0,8,-144.959
1.02093,7,0,13,-107.232
1.02093,1,0,19,-118.828
1.02093,7,0,14,-102.17
