Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.01314,DL,101,3,0,1,1,7,0,7,7,231,0,1,0,4.03844,0,0
1.01321,DL,101,3,0,2,1,7,0,6,6,231,0,1,0,55.7546,0,0
1.01329,DL,101,3,0,1,3,1,0,5,5,700,0,1,0,19.2448,0,0
1.01329,DL,101,3,0,1,3,3,0,3,3,700,0,1,0,36.0988,0,0
1.01329,DL,101,3,0,1,3,5,0,5,5,700,0,1,0,4.57096,0,0
1.01336,DL,101,3,0,3,2,7,0,5,5,466,0,1,0,7.63155,0,0
1.01343,DL,101,3,0,4,2,1,0,4,4,466,0,1,0,18.6265,0,0
1.0135,DL,101,3,0,4,3,5,0,4,4,700,0,1,0,57.7026,0,0
1.0135,DL,101,3,0,5,2,7,0,4,4,466,0,1,0,9.3688,0,0
1.01357,DL,101,3,0,4,4,3,0,2,2,935,0,1,0,12.6372,0,0
1.01357,DL,101,3,0,6,2,1,0,3,3,466,0,1,0,21.3858,0,0
1.01364,DL,101,3,0,7,2,5,0,3,3,466,0,1,0,-5.97022,0,1.10412e-13
1.01364,DL,101,3,0,7,2,7,0,3,3,466,0,1,0,46.0462,0,0
1.01371,DL,101,3,0,8,2,1,0,2,2,466,0,1,0,30.3699,0,0
1.01379,DL,101,3,0,9,2,5,0,2,2,466,0,1,0,12.2602,0,0
1.01379,DL,101,3,0,9,2,7,0,2,2,466,0,1,0,52.7058,0,0
1.01386,DL,101,3,0,8,4,3,0,1,1,935,0,1,0,9.28122,0,0
1.01386,DL,101,3,0,10,2,1,0,1,1,466,0,1,0,23.5561,0,0
1.01393,DL,101,3,0,11,2,5,0,1,1,466,0,1,0,15.6705,0,0
1.01393,DL,101,3,0,11,2,7,0,1,1,466,0,1,0,49.3057,0,0
1.01414,DL,101,4,0,1,1,7,0,7,7,231,0,1,0,4.01778,0,0
1.01421,DL,101,4,0,2,1,7,0,6,6,231,0,1,0,55.7112,0,0
1.01429,DL,101,4,0,1,3,1,0,5,5,700,0,1,0,19.1566,0,0
1.01429,DL,101,4,0,1,3,5,0,5,5,700,0,1,0,4.66698,0,0
