%,start(s),end(s),CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay(s),stdDev(s),min(s),max(s),PduSize,stdDev,min,max
0,0.25,6,1,5,3,160,1531866,160,1531866,0.00530803,0.00279537,0.00238571,0.00802856,9574.16,4565.44,697,23652,
0,0.25,6,2,4,3,71,1531650,71,1531650,0.00259496,1.84055e-05,0.00252857,0.0026,21572.5,6723.82,697,24176,
0,0.25,8,3,7,3,182,1531924,182,1531924,0.00450502,0.00306592,0.00224286,0.0130286,8417.16,8600.93,228,28907,
0,0.25,8,4,6,3,125,1531782,125,1531782,0.002396,0.000129153,0.00231428,0.0026,12254.3,7680.71,228,24176,
0,0.25,4,5,3,3,54,1531630,54,1531630,0.00245317,1.6515e-05,0.00238571,0.00245714,28363.5,9941.36,697,32234,
0,0.25,8,6,5,3,137,1531809,137,1531809,0.00511146,0.00273952,0.00238571,0.00802856,11181.1,6881.44,463,32234,
0,0.25,4,7,2,3,81,1468888,81,1468888,0.0038813,0.00222765,0.00224286,0.00802856,18134.4,7309.32,932,34163,
0,0.25,6,8,3,3,354,1334719,354,1334719,0.00305964,0.000860987,0.0026,0.00802856,3770.39,2673.3,463,6656,
0,0.25,8,9,4,3,149,1335804,149,1335804,0.00349645,0.00184134,0.00252857,0.00902856,8965.13,4718.44,463,21022,
0,0.25,2,10,5,3,74,1338704,74,1338704,0.003072,0.00185695,0.00238571,0.00802856,18090.6,5660.97,697,24176,
0,0.25,4,11,1,3,93,1338744,93,1338744,0.0038281,0.00199387,0.0026,0.0130286,14395.1,9484.04,932,34163,
0,0.25,6,12,2,3,118,1338797,118,1338797,0.00448801,0.00240099,0.00281428,0.00802856,11345.7,6401.84,463,32234,
0,0.25,8,13,3,3,89,1338730,89,1338730,0.00273723,1.9337e-05,0.00267142,0.00274285,15041.9,3945.6,463,16115,
0,0.25,8,14,2,3,89,1335667,89,1335667,0.00288009,1.9337e-05,0.00281428,0.00288571,15007.5,3963.5,463,16115,
0,0.25,6,15,1,3,100,1334154,100,1334154,0.00527356,0.00250028,0.00295714,0.00802856,13341.5,6156.48,463,24176,
0,0.25,2,16,4,3,86,1332609,86,1332609,0.00275697,0.00100609,0.00238571,0.00802856,15495.5,4532.24,463,22775,
0,0.25,2,17,3,3,87,1334123,87,1334123,0.00351461,0.00190345,0.0026,0.00802856,15334.7,8683.93,463,78282,
0,0.25,8,18,1,3,89,1334135,89,1334135,0.00302295,1.9337e-05,0.00295714,0.00302856,14990.3,3982.37,463,16115,
0,0.25,2,19,2,3,84,1334123,84,1334123,0.00287295,2.75207e-05,0.00281428,0.00288571,15882.4,4974.05,463,24176,
0,0.25,2,20,1,3,87,1335656,87,1335656,0.00382906,0.00184757,0.00295714,0.00802856,15352.4,5192.93,463,29784,
