Time,CellId,RNTI,BWPId,SINR(dB)
1.02293,8,1,0,60.7406
1.02314,8,7,0,17.821
1.02321,8,6,0,69.8332
1.02329,2,5,0,33.3662
1.02329,4,3,0,50.8959
1.02329,6,5,0,19.237
1.02336,8,5,0,21.6712
1.02343,6,4,0,71.6644
1.0235,2,4,0,32.1758
1.0235,8,4,0,22.9393
1.02357,4,2,0,26.4794
1.02357,6,3,0,7.76083
1.02364,2,3,0,35.6333
1.02364,8,3,0,60.1984
1.02371,6,2,0,25.8434
1.02379,2,2,0,44.5424
1.02379,8,2,0,66.8851
1.02386,4,1,0,22.1526
1.02386,6,1,0,30.4259
1.02393,2,1,0,37.9488
1.02393,8,1,0,63.0584
1.02414,8,7,0,17.4509
1.02421,8,6,0,69.7951
1.02429,2,5,0,35.9853
1.02429,6,5,0,19.0022
1.02436,8,5,0,21.9443
1.0245,2,4,0,32.3856
1.0245,6,4,0,71.6565
1.0245,8,4,0,24.0569
1.02464,2,3,0,35.7193
1.02464,6,3,0,8.05695
1.02464,8,3,0,61.2827
1.02479,2,2,0,44.652
1.02479,6,2,0,30.2233
1.02479,8,2,0,66.8721
1.02493,4,1,0,24.7563
1.02493,2,1,0,37.8505
1.02493,6,1,0,29.4927
1.02493,8,1,0,62.1261
1.02514,8,7,0,17.8167
1.02521,8,6,0,69.8704
1.02529,2,5,0,33.4176
1.02529,6,5,0,18.9563
1.02536,4,3,0,51.4884
1.02536,8,5,0,21.7792
1.0255,2,4,0,31.3761
1.0255,6,4,0,71.6582
1.0255,8,4,0,23.7651
1.02564,4,2,0,26.6107
1.02564,2,3,0,35.6959
1.02564,6,3,0,7.65823
1.02564,8,3,0,59.9499
1.02579,2,2,0,44.5412
1.02579,6,2,0,26.0286
1.02579,8,2,0,66.9068
1.02593,4,1,0,22.5848
1.02593,2,1,0,37.846
1.02593,6,1,0,29.6633
1.02593,8,1,0,60.7326
1.02629,2,5,0,33.493
1.02629,6,5,0,19.1115
1.02636,4,3,0,51.0699
1.0265,2,4,0,31.6343
1.0265,6,4,0,71.563
1.02664,4,2,0,26.7185
1.02664,2,3,0,35.3937
1.02664,6,3,0,7.96478
1.02679,2,2,0,44.3515
1.02679,6,2,0,25.3118
1.02693,8,5,0,24.5766
1.02693,4,1,0,22.7316
