"3.6s,ENb,495.968,54.716"
"3.7s,ENb,3.5335,57.3112"
"3.7s,ENb,5.328,494.302"
"3.7s,ENb,495.279,491.69"
"3.7s,ENb,495.856,54.847"
"3.8s,ENb,3.629,57.5088"
"3.8s,ENb,5.472,494.148"
"3.8s,ENb,495.151,491.465"
"3.8s,ENb,495.744,54.978"
"3.9s,ENb,3.7245,57.7064"
"3.9s,ENb,5.616,493.994"
"3.9s,ENb,495.024,491.241"
"3.9s,ENb,495.632,55.109"
"4s,ENb,3.82,57.904"
"4s,ENb,5.76,493.84"
"4s,ENb,494.896,491.016"
"4s,ENb,495.52,55.24"
"4.1s,ENb,3.9155,58.1016"
"4.1s,ENb,5.904,493.686"
"4.1s,ENb,494.768,490.791"
"4.1s,ENb,495.408,55.371"
"4.2s,ENb,4.011,58.2992"
"4.2s,ENb,6.048,493.532"
"4.2s,ENb,494.641,490.567"
"4.2s,ENb,495.296,55.502"
"4.3s,ENb,4.1065,58.4968"
"4.3s,ENb,6.192,493.378"
"4.3s,ENb,494.513,490.342"
"4.3s,ENb,495.184,55.633"
"4.4s,ENb,4.202,58.6944"
"4.4s,ENb,6.336,493.224"
"4.4s,ENb,494.386,490.118"
"4.4s,ENb,495.072,55.764"
"4.5s,ENb,4.2975,58.892"
"4.5s,ENb,6.48,493.07"
"4.5s,ENb,494.258,489.893"
"4.5s,ENb,494.96,55.895"
"4.6s,ENb,4.393,59.0896"
"4.6s,ENb,6.624,492.916"
"4.6s,ENb,494.13,489.668"
"4.6s,ENb,494.848,56.026"
"4.7s,ENb,4.4885,59.2872"
"4.7s,ENb,6.768,492.762"
"4.7s,ENb,494.003,489.444"
"4.7s,ENb,494.736,56.157"
"4.8s,ENb,4.584,59.4848"
"4.8s,ENb,6.912,492.608"
"4.8s,ENb,493.875,489.219"
"4.8s,ENb,494.624,56.288"
"4.9s,ENb,4.6795,59.6824"
"4.9s,ENb,7.056,492.454"
"4.9s,ENb,493.748,488.995"
"4.9s,ENb,494.512,56.419"
"5s,ENb,4.775,59.88"
"5s,ENb,7.2,492.3"
"5s,ENb,493.62,488.77"
"5s,ENb,494.4,56.55"
"5.1s,ENb,4.8705,60.0776"
"5.1s,ENb,7.344,492.146"
"5.1s,ENb,493.492,488.545"
"5.1s,ENb,494.288,56.681"
"5.2s,ENb,4.966,60.2752"
"5.2s,ENb,7.488,491.992"
"5.2s,ENb,493.365,488.321"
"5.2s,ENb,494.176,56.812"
"5.3s,ENb,5.0615,60.4728"
"5.3s,ENb,7.632,491.838"
"5.3s,ENb,493.237,488.096"
"5.3s,ENb,494.064,56.943"
"5.4s,ENb,5.157,60.6704"
"5.4s,ENb,7.776,491.684"
"5.4s,ENb,493.11,487.872"
"5.4s,ENb,493.952,57.074"
"5.5s,ENb,5.2525,60.868"
"5.5s,ENb,7.92,491.53"
"5.5s,ENb,492.982,487.647"
"5.5s,ENb,493.84,57.205"
"5.6s,ENb,5.348,61.0656"
"5.6s,ENb,8.064,491.376"
"5.6s,ENb,492.854,487.422"
"5.6s,ENb,493.728,57.336"
"5.7s,ENb,5.4435,61.2632"
"5.7s,ENb,8.208,491.222"
"5.7s,ENb,492.727,487.198"
"5.7s,ENb,493.616,57.467"
"5.8s,ENb,5.539,61.4608"
"5.8s,ENb,8.352,491.068"
"5.8s,ENb,492.599,486.973"
"5.8s,ENb,493.504,57.598"
"5.9s,ENb,5.6345,61.6584"
"5.9s,ENb,8.496,490.914"
"5.9s,ENb,492.472,486.749"
"5.9s,ENb,493.392,57.729"
"6s,ENb,5.73,61.856"
"6s,ENb,8.64,490.76"
"6s,ENb,492.344,486.524"
"6s,ENb,493.28,57.86"
"6.1s,ENb,5.8255,62.0536"
"6.1s,ENb,8.784,490.606"
"6.1s,ENb,492.216,486.299"
"6.1s,ENb,493.168,57.991"
"6.2s,ENb,5.921,62.2512"
"6.2s,ENb,8.928,490.452"
"6.2s,ENb,492.089,486.075"
"6.2s,ENb,493.056,58.122"
"6.3s,ENb,6.0165,62.4488"
"6.3s,ENb,9.072,490.298"
"6.3s,ENb,491.961,485.85"
"6.3s,ENb,492.944,58.253"
"6.4s,ENb,6.112,62.6464"
"6.4s,ENb,9.216,490.144"
"6.4s,ENb,491.834,485.626"
"6.4s,ENb,492.832,58.384"
"6.5s,ENb,6.2075,62.844"
"6.5s,ENb,9.36,489.99"
"6.5s,ENb,491.706,485.401"
"6.5s,ENb,492.72,58.515"
"6.6s,ENb,6.303,63.0416"
"6.6s,ENb,9.504,489.836"
"6.6s,ENb,491.578,485.176"
"6.6s,ENb,492.608,58.646"
"6.7s,ENb,6.3985,63.2392"
"6.7s,ENb,9.648,489.682"
"6.7s,ENb,491.451,484.952"
"6.7s,ENb,492.496,58.777"
"6.8s,ENb,6.494,63.4368"
"6.8s,ENb,9.792,489.528"
"6.8s,ENb,491.323,484.727"
"6.8s,ENb,492.384,58.908"
"6.9s,ENb,6.5895,63.6344"
"6.9s,ENb,9.936,489.374"
"6.9s,ENb,491.196,484.503"
"6.9s,ENb,492.272,59.039"
"7s,ENb,6.685,63.832"
"7s,ENb,10.08,489.22"
"7s,ENb,491.068,484.278"
"7s,ENb,492.16,59.17"
"7.1s,ENb,6.7805,64.0296"
"7.1s,ENb,10.224,489.066"
"7.1s,ENb,490.94,484.053"
"7.1s,ENb,492.048,59.301"
"7.2s,ENb,6.876,64.2272"
"7.2s,ENb,10.368,488.912"
"7.2s,ENb,490.813,483.829"
"7.2s,ENb,491.936,59.432"
"7.3s,ENb,6.9715,64.4248"
"7.3s,ENb,10.512,488.758"
"7.3s,ENb,490.685,483.604"
"7.3s,ENb,491.824,59.563"
"7.4s,ENb,7.067,64.6224"
"7.4s,ENb,10.656,488.604"
"7.4s,ENb,490.558,483.38"
"7.4s,ENb,491.712,59.694"
"7.5s,ENb,7.1625,64.82"
"7.5s,ENb,10.8,488.45"
"7.5s,ENb,490.43,483.155"
"7.5s,ENb,491.6,59.825"
"7.6s,ENb,7.258,65.0176"
"7.6s,ENb,10.944,488.296"
"7.6s,ENb,490.302,482.93"
"7.6s,ENb,491.488,59.956"
"7.7s,ENb,7.3535,65.2152"
"7.7s,ENb,11.088,488.142"
"7.7s,ENb,490.175,482.706"
"7.7s,ENb,491.376,60.087"
"7.8s,ENb,7.449,65.4128"
"7.8s,ENb,11.232,487.988"
"7.8s,ENb,490.047,482.481"
"7.8s,ENb,491.264,60.218"
"7.9s,ENb,7.5445,65.6104"
"7.9s,ENb,11.376,487.834"
"7.9s,ENb,489.92,482.257"
"7.9s,ENb,491.152,60.349"
"8s,ENb,7.64,65.808"
"8s,ENb,11.52,487.68"
"8s,ENb,489.792,482.032"
"8s,ENb,491.04,60.48"
"8.1s,ENb,7.7355,66.0056"
"8.1s,ENb,11.664,487.526"
"8.1s,ENb,489.664,481.807"
"8.1s,ENb,490.928,60.611"
"8.2s,ENb,7.831,66.2032"
"8.2s,ENb,11.808,487.372"
"8.2s,ENb,489.537,481.583"
"8.2s,ENb,490.816,60.742"
"8.3s,ENb,7.9265,66.4008"
"8.3s,ENb,11.952,487.218"
"8.3s,ENb,489.409,481.358"
"8.3s,ENb,490.704,60.873"
"8.4s,ENb,8.022,66.5984"
"8.4s,ENb,12.096,487.064"
"8.4s,ENb,489.282,481.134"
"8.4s,ENb,490.592,61.004"
"8.5s,ENb,8.1175,66.796"
"8.5s,ENb,12.24,486.91"
"8.5s,ENb,489.154,480.909"
"8.5s,ENb,490.48,61.135"
"8.6s,ENb,8.213,66.9936"
"8.6s,ENb,12.384,486.756"
"8.6s,ENb,489.026,480.684"
"8.6s,ENb,490.368,61.266"
"8.7s,ENb,8.3085,67.1912"
"8.7s,ENb,12.528,486.602"
"8.7s,ENb,488.899,480.46"
"8.7s,ENb,490.256,61.397"
"8.8s,ENb,8.404,67.3888"
"8.8s,ENb,12.672,486.448"
"8.8s,ENb,488.771,480.235"
"8.8s,ENb,490.144,61.528"
"8.9s,ENb,8.4995,67.5864"
"8.9s,ENb,12.816,486.294"
"8.9s,ENb,488.644,480.011"
"8.9s,ENb,490.032,61.659"
"9s,ENb,8.595,67.784"
"9s,ENb,12.96,486.14"
"9s,ENb,488.516,479.786"
"9s,ENb,489.92,61.79"
"9.1s,ENb,8.6905,67.9816"
"9.1s,ENb,13.104,485.986"
"9.1s,ENb,488.388,479.561"
"9.1s,ENb,489.808,61.921"
"9.2s,ENb,8.786,68.1792"
"9.2s,ENb,13.248,485.832"
"9.2s,ENb,488.261,479.337"
"9.2s,ENb,489.696,62.052"
"9.3s,ENb,8.8815,68.3768"
"9.3s,ENb,13.392,485.678"
"9.3s,ENb,488.133,479.112"
"9.3s,ENb,489.584,62.183"
"9.4s,ENb,8.977,68.5744"
"9.4s,ENb,13.536,485.524"
"9.4s,ENb,488.006,478.888"
"9.4s,ENb,489.472,62.314"
"9.5s,ENb,9.0725,68.772"
"9.5s,ENb,13.68,485.37"
"9.5s,ENb,487.878,478.663"
"9.5s,ENb,489.36,62.445"
"9.6s,ENb,9.168,68.9696"
"9.6s,ENb,13.824,485.216"
"9.6s,ENb,487.75,478.438"
"9.6s,ENb,489.248,62.576"
"9.7s,ENb,9.2635,69.1672"
"9.7s,ENb,13.968,485.062"
"9.7s,ENb,487.623,478.214"
"9.7s,ENb,489.136,62.707"
"9.8s,ENb,9.359,69.3648"
"9.8s,ENb,14.112,484.908"
"9.8s,ENb,487.495,477.989"
"9.8s,ENb,489.024,62.838"
"9.9s,ENb,9.4545,69.5624"
"9.9s,ENb,14.256,484.754"
"9.9s,ENb,487.368,477.765"
"9.9s,ENb,488.912,62.969"
"10s,ENb,9.55,69.76"
"10s,ENb,14.4,484.6"
"10s,ENb,487.24,477.54"
"10s,ENb,488.8,63.1"
"10.1s,ENb,9.6455,69.9576"
"10.1s,ENb,14.544,484.446"
"10.1s,ENb,487.112,477.315"
"10.1s,ENb,488.688,63.231"
"10.2s,ENb,9.741,70.1552"
"10.2s,ENb,14.688,484.292"
