Time,Entity,Frame,SF,Slot,VarTTI,nodeId,RNTI,bwpId,MsgType
1.026,ENB,MAC,Rxed,102,6,0,8,4,0
1.026,ENB,MAC,Rxed,102,6,0,8,3,0
1.026,ENB,MAC,Rxed,102,6,0,8,2,0
1.026,ENB,MAC,Rxed,102,6,0,8,1,0
1.026,ENB,MAC,Rxed,102,6,0,8,7,0
1.026,ENB,MAC,Rxed,102,6,0,8,6,0
1.026,ENB,MAC,Rxed,102,6,0,8,5,0
1.026,ENB,MAC,Rxed,102,6,0,8,4,0
1.026,ENB,MAC,Rxed,102,6,0,8,3,0
1.026,ENB,MAC,Rxed,102,6,0,8,2,0
1.026,ENB,MAC,Rxed,102,6,0,8,1,0
1.027,ENB,MAC,Rxed,102,7,0,2,5,0
1.027,ENB,MAC,Rxed,102,7,0,2,4,0
1.027,ENB,MAC,Rxed,102,7,0,2,3,0
1.027,ENB,MAC,Rxed,102,7,0,2,2,0
1.027,ENB,MAC,Rxed,102,7,0,2,1,0
1.027,ENB,MAC,Rxed,102,7,0,2,4,0
1.027,ENB,MAC,Rxed,102,7,0,4,3,0
1.027,ENB,MAC,Rxed,102,7,0,4,2,0
1.027,ENB,MAC,Rxed,102,7,0,4,1,0
1.027,ENB,MAC,Rxed,102,7,0,4,3,0
1.027,ENB,MAC,Rxed,102,7,0,4,2,0
1.027,ENB,MAC,Rxed,102,7,0,4,1,0
1.027,ENB,MAC,Rxed,102,7,0,6,5,0
1.027,ENB,MAC,Rxed,102,7,0,6,4,0
1.027,ENB,MAC,Rxed,102,7,0,6,3,0
1.027,ENB,MAC,Rxed,102,7,0,6,1,0
1.027,ENB,MAC,Rxed,102,7,0,6,2,0
1.027,ENB,MAC,Rxed,102,7,0,6,5,0
1.027,ENB,MAC,Rxed,102,7,0,6,4,0
1.027,ENB,MAC,Rxed,102,7,0,6,3,0
1.027,ENB,MAC,Rxed,102,7,0,6,1,0
1.027,ENB,MAC,Rxed,102,7,0,6,2,0
1.027,ENB,MAC,Rxed,102,7,0,8,7,0
1.027,ENB,MAC,Rxed,102,7,0,8,6,0
1.027,ENB,MAC,Rxed,102,7,0,8,4,0
1.027,ENB,MAC,Rxed,102,7,0,8,3,0
1.027,ENB,MAC,Rxed,102,7,0,8,2,0
1.027,ENB,MAC,Rxed,102,7,0,8,1,0
1.027,ENB,MAC,Rxed,102,7,0,8,5,0
1.027,ENB,MAC,Rxed,102,7,0,8,7,0
1.027,ENB,MAC,Rxed,102,7,0,8,6,0
1.027,ENB,MAC,Rxed,102,7,0,8,4,0
1.027,ENB,MAC,Rxed,102,7,0,8,3,0
