Time,CellId,RNTI,BWPId,SINR(dB)
1.01314,8,7,0,20.0269
1.01321,8,6,0,78.759
1.01329,2,5,0,38.2019
1.01329,4,3,0,53.0431
1.01329,6,5,0,26.7048
1.01336,8,5,0,24.6774
1.01343,2,4,0,36.2402
1.0135,6,4,0,82.2917
1.0135,8,4,0,26.2605
1.01357,4,2,0,30.2148
1.01357,2,3,0,44.9689
1.01364,6,3,0,13.5868
1.01364,8,3,0,66.7013
1.01371,2,2,0,52.6647
1.01379,6,2,0,29.0734
1.01379,8,2,0,73.6121
1.01386,4,1,0,24.6406
1.01386,2,1,0,43.2293
1.01393,6,1,0,31.4974
1.01393,8,1,0,71.0254
1.01414,8,7,0,20.0382
1.01421,8,6,0,78.7176
1.01429,2,5,0,38.1561
1.01429,6,5,0,26.7833
1.01436,4,3,0,52.4375
1.01436,8,5,0,25.0884
1.0145,2,4,0,34.8146
1.0145,6,4,0,82.36
1.0145,8,4,0,27.0183
1.01464,4,2,0,30.26
1.01464,2,3,0,45.1922
1.01464,6,3,0,12.0473
1.01464,8,3,0,66.8525
1.01479,2,2,0,52.9474
1.01479,6,2,0,29.0337
1.01479,8,2,0,73.625
1.01493,4,1,0,24.8791
1.01493,2,1,0,43.2126
1.01493,6,1,0,31.0575
1.01493,8,1,0,66.9566
1.01514,8,7,0,20.0971
1.01521,8,6,0,78.7588
1.01529,2,5,0,38.1505
1.01529,6,5,0,26.8853
1.01536,4,3,0,53.0909
1.01536,8,5,0,25.1199
1.0155,2,4,0,34.8321
1.0155,6,4,0,82.4045
1.0155,8,4,0,27.0607
1.01564,4,2,0,30.3343
1.01564,2,3,0,45.1737
1.01564,6,3,0,12.0478
1.01564,8,3,0,66.9154
1.01579,2,2,0,52.8172
1.01579,6,2,0,28.9202
1.01579,8,2,0,73.587
1.01593,4,1,0,24.6687
1.01593,2,1,0,43.2744
1.01593,6,1,0,31.0428
1.01593,8,1,0,66.982
1.01614,8,7,0,20.0943
1.01621,8,6,0,78.7598
1.01629,2,5,0,38.154
1.01629,6,5,0,26.9102
1.01636,4,3,0,54.5732
1.01636,8,5,0,25.1642
1.0165,2,4,0,34.8649
1.0165,6,4,0,82.4176
1.0165,8,4,0,26.9857
1.01664,4,2,0,30.3793
1.01664,2,3,0,45.219
1.01664,6,3,0,11.9037
1.01664,8,3,0,66.8433
1.01679,2,2,0,52.8203
1.01679,6,2,0,28.8978
1.01679,8,2,0,73.6053
1.01693,4,1,0,24.5114
1.01693,2,1,0,43.2113
1.01693,6,1,0,31.0892
1.01693,8,1,0,66.9616
1.01714,8,7,0,20.1322
1.01721,8,6,0,78.8144
1.01729,2,5,0,38.2306
1.01729,6,5,0,26.8797
1.01736,4,3,0,54.273
1.01736,8,5,0,25.0716
1.0175,2,4,0,34.7568
1.0175,6,4,0,82.47
1.0175,8,4,0,27.0343
1.01764,4,2,0,30.4378
1.01764,2,3,0,45.2165
1.01764,6,3,0,11.9496
1.01764,8,3,0,66.8227
1.01779,2,2,0,52.7602
1.01779,6,2,0,28.7861
1.01779,8,2,0,73.5225
1.01793,4,1,0,24.4748
1.01793,2,1,0,43.1501
1.01793,6,1,0,31.1757
1.01793,8,1,0,66.8991
1.01814,8,7,0,20.1154
1.01821,8,6,0,78.7528
1.01829,2,5,0,38.236
1.01829,6,5,0,26.8972
1.01836,4,3,0,53.2549
1.01836,8,5,0,25.0438
1.0185,2,4,0,34.6865
1.0185,6,4,0,82.4247
1.0185,8,4,0,27.0128
1.01864,4,2,0,30.3704
1.01864,2,3,0,45.193
1.01864,6,3,0,12.0332
1.01864,8,3,0,66.7724
1.01879,2,2,0,52.6914
1.01879,6,2,0,28.7932
1.01879,8,2,0,73.5123
1.01893,4,1,0,24.5123
1.01893,2,1,0,43.2051
1.01893,6,1,0,31.2454
1.01893,8,1,0,66.9592
1.01914,8,7,0,20.1919
1.01921,8,6,0,78.7274
1.01929,2,5,0,38.2545
1.01929,6,5,0,26.9374
1.01936,4,3,0,53.5917
1.01936,8,5,0,24.9935
1.0195,2,4,0,34.6005
1.0195,6,4,0,82.3942
1.0195,8,4,0,26.9986
1.01964,4,2,0,30.3284
1.01964,2,3,0,45.2243
1.01964,6,3,0,12.0616
1.01964,8,3,0,66.8154
1.01979,2,2,0,52.7411
1.01979,6,2,0,28.8105
1.01979,8,2,0,73.512
1.01993,4,1,0,24.5446
1.01993,2,1,0,43.1776
1.01993,6,1,0,31.2147
1.01993,8,1,0,66.9646
1.02014,8,7,0,20.2117
1.02021,8,6,0,78.7146
1.02029,2,5,0,38.3023
1.02029,6,5,0,26.9339
1.02036,4,3,0,55.0677
1.02036,8,5,0,25.0098
1.0205,2,4,0,34.4906
1.0205,6,4,0,82.4098
1.0205,8,4,0,26.962
1.02064,4,2,0,30.2855
1.02064,2,3,0,45.3067
1.02064,6,3,0,12.0138
1.02064,8,3,0,66.8512
1.02079,2,2,0,52.7451
1.02079,6,2,0,28.8716
1.02079,8,2,0,73.4968
1.02093,4,1,0,24.5659
1.02093,2,1,0,43.1704
1.02093,6,1,0,31.2234
1.02093,8,1,0,66.8523
1.02114,8,7,0,20.2198
1.02121,8,6,0,78.7213
1.02129,2,5,0,38.3632
1.02129,6,5,0,26.9721
1.02129,8,5,0,23.094
1.02136,4,3,0,55.5523
1.02143,2,4,0,33.8374
1.02143,8,4,0,27.4243
1.0215,6,4,0,82.4926
1.02157,2,3,0,45.5217
1.02157,8,3,0,66.8525
1.02164,4,2,0,31.3764
1.02164,6,3,0,13.225
1.02171,2,2,0,52.6977
1.02171,8,2,0,73.8842
1.02179,6,2,0,28.0256
1.02186,2,1,0,43.0173
1.02186,8,1,0,65.8462
1.02193,4,1,0,24.8939
1.02193,6,1,0,35.4391
1.02214,8,7,0,20.144
1.02221,8,6,0,78.7205
1.02229,2,5,0,38.4134
1.02229,6,5,0,26.9895
1.02236,4,3,0,55.5778
1.02236,8,5,0,24.9198
1.0225,2,4,0,34.4865
1.0225,6,4,0,82.2836
1.0225,8,4,0,26.8676
1.02264,4,2,0,30.2876
1.02264,2,3,0,45.2507
1.02264,6,3,0,12.1072
1.02264,8,3,0,66.7851
1.02279,2,2,0,52.7987
1.02279,6,2,0,28.7278
1.02279,8,2,0,73.5396
1.02293,4,1,0,24.5431
1.02293,2,1,0,43.1652
1.02293,6,1,0,31.3035
1.02293,8,1,0,66.836
1.02314,8,7,0,20.1028
1.02321,8,6,0,78.7313
1.02329,2,5,0,38.4027
1.02329,4,3,0,55.5184
1.02329,6,5,0,27.0499
1.02336,8,5,0,24.5463
1.02343,6,4,0,82.1535
1.0235,2,4,0,35.5413
1.0235,8,4,0,25.4885
1.02357,4,2,0,29.749
1.02357,6,3,0,12.6004
1.02364,2,3,0,45.6313
1.02364,8,3,0,67.1691
1.02371,6,2,0,28.5129
1.02379,2,2,0,52.8215
1.02379,8,2,0,73.6171
1.02386,4,1,0,24.7908
1.02386,6,1,0,35.1394
1.02393,2,1,0,43.9862
1.02393,8,1,0,69.6114
1.02414,8,7,0,23.6279
1.02421,8,6,0,78.6604
1.02429,6,5,0,28.2647
1.02436,4,3,0,71.0171
1.02436,8,5,0,33.3261
1.0245,6,4,0,82.2667
1.0245,8,4,0,28.73
1.02464,4,2,0,35.6742
1.02464,6,3,0,14.6455
1.02464,8,3,0,66.9647
1.02479,6,2,0,28.6432
1.02479,8,2,0,73.3911
1.02493,2,4,0,34.9865
1.02493,4,1,0,24.6079
1.02493,6,1,0,31.2111
1.02493,8,1,0,68.4251
1.02514,8,7,0,20.0869
1.02521,8,6,0,78.7415
1.02529,2,5,0,38.6371
1.02529,6,5,0,26.8829
1.02536,4,3,0,55.2345
1.02536,8,5,0,25.1468
1.0255,2,4,0,34.481
1.0255,6,4,0,82.2172
1.0255,8,4,0,26.8147
1.02564,4,2,0,30.1837
1.02564,2,3,0,45.33
1.02564,6,3,0,12.1124
1.02564,8,3,0,66.8744
1.02579,2,2,0,52.7975
1.02579,6,2,0,28.782
1.02579,8,2,0,73.4125
1.02593,4,1,0,24.6794
1.02593,2,1,0,43.0352
1.02593,6,1,0,31.3858
1.02593,8,1,0,67.0029
1.02629,2,5,0,37.6827
1.02636,4,3,0,55.4485
1.0265,2,4,0,35.5802
1.02664,4,2,0,30.8862
1.02664,2,3,0,45.3415
1.02679,2,2,0,52.514
1.02693,6,2,0,36.7875
1.02693,8,5,0,23.2442
1.02693,4,1,0,38.3262
1.02693,2,1,0,43.1594
1.02714,8,7,0,19.9521
1.02721,8,6,0,78.7512
1.02729,2,5,0,38.4894
1.02729,6,5,0,26.7395
1.02736,4,3,0,54.6827
1.02736,8,5,0,25.0224
1.0275,2,4,0,34.4946
1.0275,6,4,0,82.1502
1.0275,8,4,0,26.7504
1.02764,4,2,0,30.2986
1.02764,2,3,0,45.3571
1.02764,6,3,0,12.1194
1.02764,8,3,0,66.9195
1.02779,2,2,0,52.7677
1.02779,6,2,0,28.8254
1.02779,8,2,0,73.5084
1.02793,4,1,0,24.6723
1.02793,2,1,0,43.0299
1.02793,6,1,0,31.4946
1.02793,8,1,0,67.0805
1.02829,2,5,0,37.9186
1.02829,6,5,0,27.0108
1.02836,4,3,0,55.3352
1.0285,2,4,0,35.3891
1.0285,6,4,0,82.3404
1.02864,4,2,0,30.3597
1.02864,2,3,0,44.4023
1.02864,6,3,0,12.3125
1.02879,2,2,0,52.0668
1.02879,6,2,0,27.7298
1.02893,8,4,0,22.7107
1.02893,4,1,0,24.9724
1.02893,2,1,0,43.0199
1.02893,6,1,0,37.1533
1.02914,8,7,0,19.986
1.02921,8,6,0,78.7028
1.02929,2,5,0,38.5756
1.02929,6,5,0,26.6889
1.02936,4,3,0,54.4796
1.02936,8,5,0,25.2242
1.0295,2,4,0,34.4415
1.0295,6,4,0,82.1941
1.0295,8,4,0,26.7249
1.02964,4,2,0,30.1108
1.02964,2,3,0,45.3829
1.02964,6,3,0,12.0813
1.02964,8,3,0,67.0236
1.02979,2,2,0,52.7633
1.02979,6,2,0,28.828
1.02979,8,2,0,73.6349
1.02993,4,1,0,24.5829
1.02993,2,1,0,42.8917
1.02993,6,1,0,31.5935
1.02993,8,1,0,67.08
1.03014,8,7,0,24.1669
1.03021,8,6,0,78.8042
1.03029,2,5,0,38.1158
1.03029,4,3,0,54.3714
1.03036,8,5,0,24.733
1.0305,2,4,0,35.5724
1.0305,8,4,0,26.4077
1.03057,4,2,0,29.6411
1.03064,2,3,0,45.6038
1.03064,8,3,0,67.3664
1.03079,2,2,0,52.6898
1.03079,8,2,0,74.9582
1.03086,4,1,0,37.7914
1.03093,6,3,0,4.73599
1.03093,2,1,0,43.0978
1.03093,8,1,0,69.1212
1.03114,8,7,0,23.4605
1.03121,8,6,0,78.5969
1.03129,6,5,0,26.5842
1.03136,4,3,0,71.1333
1.03136,8,5,0,33.2447
1.0315,6,4,0,82.1456
1.0315,8,4,0,28.2461
1.03164,4,2,0,35.6436
1.03164,6,3,0,14.3279
1.03164,8,3,0,67.0935
1.03179,6,2,0,28.8522
1.03179,8,2,0,73.6985
1.03193,2,5,0,40.605
1.03193,4,1,0,24.4279
1.03193,6,1,0,31.4981
1.03193,8,1,0,68.3954
1.03214,8,7,0,23.2704
1.03221,8,6,0,78.2698
1.03229,2,5,0,42.3545
1.03236,8,5,0,23.8939
1.0325,2,4,0,35.961
1.0325,8,4,0,28.0568
1.03264,2,3,0,45.6779
1.03264,8,3,0,69.7918
1.03279,2,2,0,52.8447
1.03279,8,2,0,75.3902
1.03293,4,2,0,26.5896
1.03293,6,3,0,8.13095
1.03293,6,1,0,33.2776
1.03293,2,1,0,44.129
1.03293,8,1,0,69.7141
1.03314,8,7,0,24.1559
1.03321,8,6,0,78.3143
1.03329,2,5,0,37.7162
1.03336,4,3,0,53.9774
1.03336,8,5,0,23.9816
1.0335,2,4,0,34.2025
1.0335,8,4,0,26.4808
1.03364,4,2,0,30.2208
1.03364,2,3,0,45.888
1.03364,8,3,0,67.0957
1.03379,2,2,0,53.0318
1.03379,8,2,0,74.7763
1.03393,6,2,0,34.8988
1.03393,4,1,0,37.3211
1.03393,2,1,0,42.9124
1.03393,8,1,0,67.239
1.03414,8,7,0,31.4723
1.03421,8,6,0,78.4576
1.03436,4,3,0,71.3242
1.03436,8,5,0,33.1035
1.0345,8,4,0,28.5813
1.03464,4,2,0,36.2572
1.03464,8,3,0,67.0925
1.03479,8,2,0,74.5745
1.03493,2,4,0,32.9986
1.03493,6,3,0,11.2501
1.03493,6,1,0,33.2076
1.03493,4,1,0,38.3664
1.03493,8,1,0,69.5427
1.03529,6,5,0,27.7675
1.0355,6,4,0,82.3815
1.03564,6,3,0,18.626
1.03579,6,2,0,40.2547
1.03593,2,4,0,31.2912
1.03593,4,2,0,26.502
1.03593,8,5,0,30.9339
1.03593,8,4,0,22.5047
1.03593,6,1,0,38.3704
1.03614,8,7,0,19.8957
1.03621,8,6,0,78.4743
1.03629,2,5,0,38.6725
1.03629,6,5,0,26.671
1.03636,4,3,0,53.325
1.03636,8,5,0,25.1258
1.0365,2,4,0,34.5552
1.0365,6,4,0,82.1412
1.0365,8,4,0,26.728
1.03664,4,2,0,29.781
1.03664,2,3,0,45.2443
1.03664,6,3,0,11.9772
1.03664,8,3,0,66.9299
1.03679,2,2,0,52.8531
1.03679,6,2,0,28.8685
1.03679,8,2,0,73.6353
1.03693,4,1,0,24.8129
1.03693,2,1,0,42.8967
1.03693,6,1,0,31.9531
1.03693,8,1,0,66.8112
1.03729,2,5,0,38.4193
1.03729,6,5,0,26.6938
1.03736,4,3,0,53.3924
1.0375,2,4,0,35.8548
1.0375,6,4,0,82.2417
1.03764,4,2,0,30.0047
1.03764,2,3,0,44.0974
1.03764,6,3,0,12.1097
1.03779,2,2,0,52.1072
1.03779,6,2,0,27.5392
1.03793,8,5,0,28.2863
1.03793,4,1,0,24.9179
1.03793,2,1,0,42.9334
1.03793,6,1,0,37.5886
1.03829,6,5,0,28.0064
1.03836,4,3,0,73.2053
1.03843,6,4,0,82.3892
1.03857,6,3,0,14.6113
1.03864,4,2,0,36.1618
1.03871,6,2,0,26.6903
1.03886,6,1,0,37.8459
1.03893,2,5,0,39.7551
1.03893,8,4,0,16.9631
1.03893,4,1,0,34.0195
1.03929,2,5,0,38.0573
1.03929,6,5,0,26.9848
1.03936,4,3,0,53.9631
1.0395,2,4,0,35.5058
1.0395,6,4,0,82.2964
1.03964,4,2,0,29.9568
1.03964,2,3,0,44.5452
1.03964,6,3,0,11.9599
1.03979,2,2,0,52.0734
1.03979,6,2,0,27.6628
1.03993,8,4,0,22.4395
1.03993,4,1,0,24.763
1.03993,2,1,0,42.9086
1.03993,6,1,0,37.6219
1.04014,8,7,0,20.0542
1.04021,8,6,0,78.5248
1.04029,2,5,0,38.5908
1.04029,6,5,0,26.6899
1.04036,4,3,0,52.9874
1.04036,8,5,0,25.0398
1.0405,2,4,0,34.3762
1.0405,6,4,0,82.1172
1.0405,8,4,0,26.5019
1.04064,4,2,0,29.7901
1.04064,2,3,0,45.4745
1.04064,6,3,0,11.8102
1.04064,8,3,0,67.0702
1.04079,2,2,0,52.7851
1.04079,6,2,0,28.8612
1.04079,8,2,0,73.7402
1.04093,4,1,0,24.6733
1.04093,2,1,0,42.7694
1.04093,6,1,0,32.0837
1.04093,8,1,0,66.8247
1.04193,2,4,0,36.5197
1.04193,4,1,0,28.1096
1.04193,6,3,0,-0.23015
1.04193,8,7,0,7.3753
1.04214,8,7,0,30.3504
1.04221,8,6,0,78.059
1.04229,8,5,0,31.1649
1.04243,8,4,0,31.3988
1.04257,8,3,0,70.071
1.04271,8,2,0,75.4627
1.04286,8,1,0,73.7156
1.04293,2,4,0,34.8516
1.04293,2,5,0,40.9321
1.04293,4,2,0,23.3858
1.04293,6,3,0,6.06249
1.04293,6,2,0,23.1638
1.04314,8,7,0,24.2191
1.04321,8,6,0,78.3067
1.04329,2,5,0,38.0578
1.04336,4,3,0,54.773
1.04336,8,5,0,23.9951
1.0435,2,4,0,34.0388
1.0435,8,4,0,26.1941
1.04364,4,2,0,30.0369
1.04364,2,3,0,46.1163
1.04364,8,3,0,66.9079
1.04379,2,2,0,52.8455
1.04379,8,2,0,74.7247
1.04393,6,2,0,34.9887
1.04393,4,1,0,37.557
1.04393,2,1,0,42.751
1.04393,8,1,0,67.0004
1.04414,8,7,0,23.351
1.04421,8,6,0,78.5176
1.04429,2,5,0,42.5823
1.04436,8,5,0,24.5561
1.0445,2,4,0,36.6147
1.0445,8,4,0,27.6188
1.04464,2,3,0,45.4541
1.04464,8,3,0,69.7886
1.04479,2,2,0,52.8482
1.04479,8,2,0,75.7236
1.04493,4,1,0,19.0175
1.04493,6,3,0,3.96407
1.04493,6,2,0,1.06397
1.04493,2,1,0,43.0484
1.04493,8,1,0,69.5954
1.04593,2,4,0,32.6065
1.04593,4,1,0,18.4976
1.04593,4,2,0,34.5567
1.04593,6,5,0,25.7265
1.04593,6,3,0,12.7569
1.04593,6,1,0,25.6402
1.04593,6,2,0,8.45006
1.04593,8,7,0,16.3642
1.04593,8,5,0,20.6431
1.04614,8,7,0,20.127
1.04621,8,6,0,78.5409
1.04629,2,5,0,38.872
1.04629,6,5,0,26.9106
1.04636,4,3,0,53.2217
1.04636,8,5,0,25.2286
1.0465,2,4,0,34.4489
1.0465,6,4,0,82.0644
1.0465,8,4,0,26.3353
1.04664,4,2,0,29.679
1.04664,2,3,0,45.6656
1.04664,6,3,0,11.6075
1.04664,8,3,0,66.9526
1.04679,2,2,0,52.6666
1.04679,6,2,0,28.8087
1.04679,8,2,0,74.0447
1.04693,4,1,0,25.0008
1.04693,2,1,0,42.8301
1.04693,6,1,0,31.9275
1.04693,8,1,0,66.7774
1.04714,8,7,0,20.0737
1.04721,8,6,0,78.617
1.04729,2,5,0,38.8625
1.04729,6,5,0,26.8639
1.04736,4,3,0,53.8876
1.04736,8,5,0,25.1424
1.0475,2,4,0,34.4006
1.0475,6,4,0,82.0535
1.0475,8,4,0,26.1735
1.04764,4,2,0,29.6425
1.04764,2,3,0,45.6483
1.04764,6,3,0,11.58
1.04764,8,3,0,66.939
1.04779,2,2,0,52.5863
1.04779,6,2,0,28.8381
1.04779,8,2,0,74.0057
1.04793,4,1,0,25.1175
1.04793,2,1,0,42.7506
1.04793,6,1,0,31.8068
1.04793,8,1,0,66.8067
1.04829,6,5,0,26.883
1.04836,4,3,0,72.7432
1.0485,6,4,0,82.1133
1.04864,4,2,0,35.9838
1.04864,6,3,0,14.3917
1.04879,6,2,0,27.1478
1.04893,2,5,0,40.4833
1.04893,8,5,0,31.0885
1.04893,8,4,0,22.0325
1.04893,4,1,0,25.8562
1.04893,6,1,0,36.855
1.04929,2,5,0,42.6271
1.0495,2,4,0,38.1964
1.04964,2,3,0,45.121
1.04979,2,2,0,52.3439
1.04993,4,1,0,28.5918
1.04993,6,2,0,23.7499
1.04993,8,5,0,22.9755
1.04993,2,1,0,43.4132
1.05014,8,7,0,23.8891
1.05021,8,6,0,78.3265
1.05029,2,5,0,42.414
1.05029,8,5,0,22.1781
1.05043,8,4,0,27.741
1.0505,2,4,0,36.5414
1.05057,8,3,0,70.0986
1.05064,2,3,0,46.0798
1.05071,8,2,0,75.792
1.05079,2,2,0,52.443
1.05086,8,1,0,69.1388
1.05093,4,1,0,28.3926
1.05093,6,2,0,26.7356
1.05093,2,1,0,43.3327
1.05129,2,5,0,38.4496
1.05129,6,5,0,26.6432
1.05136,4,3,0,56.436
1.0515,2,4,0,35.5537
1.0515,6,4,0,82.2875
1.05164,4,2,0,29.5576
1.05164,2,3,0,44.7884
1.05164,6,3,0,11.3796
1.05179,2,2,0,51.9414
1.05179,6,2,0,27.5885
1.05193,8,4,0,22.042
1.05193,4,1,0,25.4519
1.05193,2,1,0,42.58
1.05193,6,1,0,37.37
