Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
0.0179286,5,0,1,-125.177
0.0179286,5,0,2,-84.9909
0.0179286,7,0,3,-130.259
0.0179286,7,0,4,-91.2591
0.0179286,3,0,5,-95.8024
0.0179286,7,0,6,-122.171
0.0179286,3,0,7,-121.503
0.0179286,5,0,8,-134.722
0.0179286,7,0,9,-127.83
0.0179286,1,0,10,-122.687
0.0179286,3,0,11,-119.188
0.0179286,5,0,12,-122.004
0.0179286,7,0,13,-98.0477
0.0179286,7,0,14,-94.7464
0.0179286,5,0,15,-124.376
0.0179286,1,0,16,-120.066
0.0179286,1,0,17,-121.643
0.0179286,7,0,18,-94.974
0.0179286,1,0,19,-110.532
0.0179286,1,0,20,-119.721
0.0258571,5,0,15,-124.234
0.0308571,7,0,4,-91.1959
0.0348571,1,0,19,-110.518
0.0368571,5,0,8,-134.847
0.0398571,7,0,9,-127.949
0.0528571,7,0,13,-98.3135
0.0538571,3,0,5,-96.0173
0.0538571,1,0,16,-120.145
0.0618571,7,0,6,-121.869
0.0618571,1,0,20,-119.294
0.0638571,5,0,2,-84.7785
0.0638571,3,0,11,-119.188
0.0708571,3,0,7,-121.741
0.0788571,5,0,1,-124.937
0.0828571,7,0,14,-94.7369
0.0908571,7,0,3,-129.99
0.0978571,1,0,17,-121.57
0.0998571,1,0,10,-122.277
0.100857,7,0,18,-95.1484
0.101857,5,0,12,-121.173
0.105857,5,0,15,-124.526
0.110857,7,0,4,-91.3179
0.114857,1,0,19,-111.088
0.116857,5,0,8,-133.33
0.119857,7,0,9,-127.377
0.132857,7,0,13,-98.2956
0.133857,3,0,5,-95.9168
0.133857,1,0,16,-120.175
0.141857,7,0,6,-121.737
0.141857,1,0,20,-119.946
0.143857,5,0,2,-85.6519
0.143857,3,0,11,-118.433
0.150857,3,0,7,-123.173
0.158857,5,0,1,-124.817
0.162857,7,0,14,-93.9507
0.170857,7,0,3,-129.294
0.177857,1,0,17,-120.485
0.179857,1,0,10,-122.032
0.180857,7,0,18,-95.6225
0.181857,5,0,12,-120.825
0.185857,5,0,15,-125.532
0.190857,7,0,4,-91.4329
0.194857,1,0,19,-110.896
0.196857,5,0,8,-133.146
0.199857,7,0,9,-127.415
0.212857,7,0,13,-98.4308
0.213857,3,0,5,-95.5176
0.213857,1,0,16,-120.291
0.221857,7,0,6,-121.527
0.221857,1,0,20,-119.875
0.223857,5,0,2,-86.122
0.223857,3,0,11,-117.995
0.230857,3,0,7,-123.304
0.238857,5,0,1,-123.434
0.242857,7,0,14,-93.2928
0.250857,7,0,3,-129.576
0.257857,1,0,17,-120.965
0.259857,1,0,10,-121.616
0.260857,7,0,18,-95.5548
0.261857,5,0,12,-120.137
0.265857,5,0,15,-125.702
0.270857,7,0,4,-91.6614
0.274857,1,0,19,-110.279
0.276857,5,0,8,-133.679
0.279857,7,0,9,-127.191
0.292857,7,0,13,-98.4053
0.293857,3,0,5,-95.6246
0.293857,1,0,16,-120.169
0.301857,7,0,6,-121.084
0.301857,1,0,20,-119.737
0.303857,5,0,2,-86.3539
0.303857,3,0,11,-116.992
0.310857,3,0,7,-123.846
0.318857,5,0,1,-123.372
0.322857,7,0,14,-93.5813
0.330857,7,0,3,-129.115
0.337857,1,0,17,-121.171
0.339857,1,0,10,-122.429
0.340857,7,0,18,-95.2256
0.341857,5,0,12,-119.746
0.345857,5,0,15,-125.077
0.350857,7,0,4,-91.6567
0.354857,1,0,19,-109.776
0.356857,5,0,8,-133.665
0.359857,7,0,9,-127.344
0.372857,7,0,13,-98.5865
0.373857,3,0,5,-95.8067
0.373857,1,0,16,-119.903
0.381857,7,0,6,-121.415
0.381857,1,0,20,-120.509
0.383857,5,0,2,-86.4256
0.383857,3,0,11,-117.912
0.390857,3,0,7,-123.69
0.398857,5,0,1,-123.105
0.402857,7,0,14,-93.0116
0.410857,7,0,3,-129.601
0.417857,1,0,17,-120.44
0.419857,1,0,10,-122.501
0.420857,7,0,18,-94.7004
0.421857,5,0,12,-119.131
0.425857,5,0,15,-124.885
0.430857,7,0,4,-91.9793
0.434857,1,0,19,-110.003
0.436857,5,0,8,-133.702
0.439857,7,0,9,-127.36
0.452857,7,0,13,-98.6891
0.453857,3,0,5,-95.2037
0.453857,1,0,16,-119.713
0.461857,7,0,6,-121.517
0.461857,1,0,20,-121.304
0.463857,5,0,2,-86.2092
0.463857,3,0,11,-118.234
0.470857,3,0,7,-124.4
0.478857,5,0,1,-122.478
0.482857,7,0,14,-92.9375
0.490857,7,0,3,-129.32
0.497857,1,0,17,-121.28
0.499857,1,0,10,-122.036
0.500857,7,0,18,-94.5444
0.501857,5,0,12,-118.412
0.505857,5,0,15,-123.836
0.510857,7,0,4,-91.7916
0.514857,1,0,19,-109.619
0.516857,5,0,8,-133.765
0.519857,7,0,9,-127.268
0.532857,7,0,13,-98.5907
0.533857,3,0,5,-96.0367
0.533857,1,0,16,-118.713
0.541857,7,0,6,-122.396
0.541857,1,0,20,-121.439
0.543857,5,0,2,-85.962
0.543857,3,0,11,-118.798
0.550857,3,0,7,-123.481
0.558857,5,0,1,-122.591
0.562857,7,0,14,-92.547
0.570857,7,0,3,-129.957
0.577857,1,0,17,-121.247
0.579857,1,0,10,-122.165
0.580857,7,0,18,-95.077
0.581857,5,0,12,-117.515
0.585857,5,0,15,-124.15
0.590857,7,0,4,-91.9614
0.594857,1,0,19,-110.228
0.596857,5,0,8,-134.612
0.599857,7,0,9,-127.491
0.612857,7,0,13,-98.6856
0.613857,3,0,5,-96.0289
0.613857,1,0,16,-118.567
0.621857,7,0,6,-122.044
0.621857,1,0,20,-119.935
0.623857,5,0,2,-86.6088
0.623857,3,0,11,-118.947
0.630857,3,0,7,-123.223
0.638857,5,0,1,-122.61
0.642857,7,0,14,-92.1752
0.650857,7,0,3,-129.264
0.657857,1,0,17,-120.741
0.659857,1,0,10,-122.014
0.660857,7,0,18,-94.6418
0.661857,5,0,12,-117.51
0.665857,5,0,15,-123.761
0.670857,7,0,4,-91.6978
0.674857,1,0,19,-110.176
0.676857,5,0,8,-134.424
0.679857,7,0,9,-127.162
0.692857,7,0,13,-98.5381
0.693857,3,0,5,-96.8263
0.693857,1,0,16,-118.262
0.701857,7,0,6,-122.014
0.701857,1,0,20,-119.744
0.703857,5,0,2,-86.9396
0.703857,3,0,11,-118.679
0.710857,3,0,7,-123.134
0.718857,5,0,1,-121.927
0.722857,7,0,14,-92.1927
0.730857,7,0,3,-129.071
0.737857,1,0,17,-120.562
0.739857,1,0,10,-121.995
0.740857,7,0,18,-94.6131
