%,start(s),end(s),CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay(s),stdDev(s),min(s),max(s),PduSize,stdDev,min,max
0,0.25,6,1,5,3,1000,1530000,1000,1530000,0.106166,0.0515227,0.00538308,0.171685,1530,0,1530,1530,
0,0.25,6,2,4,3,1000,1530000,1000,1530000,0.0510843,0.027075,0.00559611,0.0977557,1530,0,1530,1530,
0,0.25,8,3,7,3,1000,1530000,1000,1530000,0.18972,0.049604,0.00921259,0.227441,1530,0,1530,1530,
0,0.25,8,4,6,3,1000,1530000,1000,1530000,0.118563,0.0520123,0.00918228,0.182652,1530,0,1530,1530,
0,0.25,4,5,3,3,1000,1530000,1000,1530000,0.0290041,0.0142747,0.00444948,0.0546493,1530,0,1530,1530,
0,0.25,8,6,5,3,1000,1530000,1000,1530000,0.12419,0.0504973,0.00644823,0.188478,1530,0,1530,1530,
0,0.25,4,7,2,3,959,1467270,959,1467270,0.0491584,0.0242205,0.00473268,0.0895084,1530,0,1530,1530,
0,0.25,6,8,3,3,871,1332630,871,1332630,0.221945,0.0474109,0.00673143,0.262565,1530,0,1530,1530,
0,0.25,8,9,4,3,872,1334160,872,1334160,0.127434,0.0614688,0.00658731,0.206217,1530,0,1530,1530,
0,0.25,2,10,5,3,874,1337220,874,1337220,0.0451287,0.0219805,0.00537177,0.081165,1530,0,1530,1530,
0,0.25,4,11,1,3,874,1337220,874,1337220,0.0749719,0.0297951,0.00501337,0.108511,1530,0,1530,1530,
0,0.25,6,12,2,3,874,1337220,874,1337220,0.0973375,0.0431805,0.00686926,0.15561,1530,0,1530,1530,
0,0.25,8,13,3,3,874,1337220,874,1337220,0.0629659,0.0342643,0.00672515,0.121562,1530,0,1530,1530,
0,0.25,8,14,2,3,872,1334160,872,1334160,0.0629741,0.03419,0.00686675,0.121685,1530,0,1530,1530,
0,0.25,6,15,1,3,871,1332630,871,1332630,0.0927456,0.0424959,0.00700835,0.154757,1530,0,1530,1530,
0,0.25,2,16,4,3,870,1331100,870,1331100,0.0496352,0.0239388,0.00557852,0.0906802,1530,0,1530,1530,
0,0.25,2,17,3,3,871,1332630,871,1332630,0.0585084,0.0290306,0.00672012,0.0961326,1530,0,1530,1530,
0,0.25,8,18,1,3,871,1332630,871,1332630,0.0630434,0.0341496,0.00700458,0.121717,1530,0,1530,1530,
0,0.25,2,19,2,3,871,1332630,871,1332630,0.0586243,0.0290005,0.00686047,0.0962651,1530,0,1530,1530,
0,0.25,2,20,1,3,872,1334160,872,1334160,0.0588434,0.0290524,0.00700207,0.0965496,1530,0,1530,1530,
