time(s),cellId,rnti,lcid,packetSize,delay(s)
1.01974,8,3,3,1530,0.00947395
1.01974,8,3,3,1530,0.00944883
1.01989,2,2,3,1530,0.00983535
1.01989,2,2,3,1530,0.00981023
1.01989,2,2,3,1530,0.00978511
1.01989,2,2,3,1530,0.00975999
1.01989,2,2,3,1530,0.00973487
1.01989,2,2,3,1530,0.00970975
1.01989,2,2,3,1530,0.00968463
1.01989,2,2,3,1530,0.00965951
1.01989,2,2,3,1530,0.00963439
1.01989,2,2,3,1530,0.00960927
1.01989,2,2,3,1530,0.00958415
1.01989,6,2,3,1530,0.00984414
1.01989,6,2,3,1530,0.00981902
1.01989,6,2,3,1530,0.0097939
1.01989,6,2,3,1530,0.00976878
1.01989,6,2,3,1530,0.00974366
1.01989,6,2,3,1530,0.00971854
1.01989,6,2,3,1530,0.00969342
1.01989,8,2,3,1530,0.00984163
1.01989,8,2,3,1530,0.00981651
1.01989,8,2,3,1530,0.00979139
1.01989,8,2,3,1530,0.00976627
1.01989,8,2,3,1530,0.00974115
1.01989,8,2,3,1530,0.00971603
1.01989,8,2,3,1530,0.00969091
1.01989,8,2,3,1530,0.00966579
1.01989,8,2,3,1530,0.00964067
1.01989,8,2,3,1530,0.00961555
1.01989,8,2,3,1530,0.00959043
1.02003,4,1,3,1530,0.00993801
1.02003,4,1,3,1530,0.00991289
1.02003,4,1,3,1530,0.00988777
1.02003,4,1,3,1530,0.00986265
1.02003,4,1,3,1530,0.00983753
1.02003,4,1,3,1530,0.00981241
1.02003,2,1,3,1530,0.00997695
1.02003,2,1,3,1530,0.00995183
1.02003,2,1,3,1530,0.00992671
1.02003,2,1,3,1530,0.00990159
1.02003,2,1,3,1530,0.00987647
1.02003,2,1,3,1530,0.00985135
1.02003,2,1,3,1530,0.00982623
1.02003,2,1,3,1530,0.00980111
1.02003,2,1,3,1530,0.00977599
1.02003,2,1,3,1530,0.00975087
1.02003,2,1,3,1530,0.00972575
1.02003,6,1,3,1530,0.00998323
1.02003,6,1,3,1530,0.00995811
1.02003,6,1,3,1530,0.00993299
1.02003,6,1,3,1530,0.00990787
1.02003,6,1,3,1530,0.00988275
1.02003,6,1,3,1530,0.00985763
1.02003,6,1,3,1530,0.00983251
1.02003,8,1,3,1530,0.00997946
1.02003,8,1,3,1530,0.00995434
1.02003,8,1,3,1530,0.00992922
1.02003,8,1,3,1530,0.0099041
1.02003,8,1,3,1530,0.00987898
